rank,slug,name,version,active_installs,declared_license,verdict,findings_count,findings
1,elementor,Elementor Website Builder &#8211; more than just a page builder,4.2.3,10000000,GPLv3,GPL_ALIGNED,0,
2,wordpress-seo,Yoast SEO &#8211; Advanced SEO with real-time guidance and built-in AI,28.3,10000000,GPLv3,GPL_ALIGNED,0,
3,contact-form-7,Contact Form 7,6.1.7,10000000,GPLv2 or later,GPL_ALIGNED,0,
4,classic-editor,Classic Editor,1.7.0,9000000,GPLv2 or later,GPL_ALIGNED,0,
5,litespeed-cache,LiteSpeed Cache,7.9,7000000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,4,Proprietary notice in lib/css_js_min/minify/css.cls.php | Proprietary notice in lib/css_js_min/minify/js.cls.php | Proprietary notice in lib/css_js_min/minify/minify.cls.php | Proprietary notice in lib/css_js_min/pathconverter/converter.cls.php
6,woocommerce,WooCommerce,11.0.1,7000000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,2,Proprietary notice in assets/js/select2/select2.full.js | Proprietary notice in assets/js/select2/select2.js
7,google-site-kit,"Site Kit by Google &#8211; Analytics, Search Console, AdSense, Speed",1.186.0,5000000,Apache License 2.0,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,4,Proprietary notice in third-party/google/apiclient/src/AuthHandler/AuthHandlerFactory.php | Proprietary notice in third-party/google/auth/src/Cache/SysVCacheItemPool.php | Proprietary notice in third-party/google/auth/src/HttpHandler/Guzzle6HttpHandler.php | Proprietary notice in third-party/google/auth/src/HttpHandler/HttpHandlerFactory.php
8,akismet,Akismet Anti-spam: Spam Protection,5.7.2,5000000,GPLv2 or later,GPL_ALIGNED,0,
9,wpforms-lite,"WPForms &#8211; AI Form Builder for WordPress &#8211; Contact Forms, Payment Forms, Survey Form, Quiz &amp; More",2.0.1.1,5000000,GNU General Public License v2.0 or later,NON_GPL_COPYLEFT_TAINT,5,OSL-3.0 copyleft in vendor_prefixed/apimatic/jsonmapper/src/AnyOfValidationException.php | OSL-3.0 copyleft in vendor_prefixed/apimatic/jsonmapper/src/JsonMapperException.php | OSL-3.0 copyleft in vendor_prefixed/apimatic/jsonmapper/src/JsonMapper.php | OSL-3.0 copyleft in vendor_prefixed/apimatic/jsonmapper/src/OneOfValidationException.php | OSL-3.0 copyleft in vendor_prefixed/apimatic/jsonmapper/src/TypeCombination.php
10,all-in-one-wp-migration,All-in-One WP Migration and Backup,7.110,5000000,GPLv3 or later,GPL_ALIGNED,0,
11,wordfence,"Wordfence Security &#8211; Firewall, Malware Scan, and Login Security",9.0.0,5000000,GPLv3,GPL_ALIGNED,0,
12,wp-mail-smtp,WP Mail SMTP by WPForms &#8211; The Most Popular SMTP and Email Log Plugin,4.9.0,4000000,GNU General Public License v3.0 or later,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,4,Proprietary notice in vendor_prefixed/google/apiclient/src/AuthHandler/AuthHandlerFactory.php | Proprietary notice in vendor_prefixed/google/auth/src/Cache/SysVCacheItemPool.php | Proprietary notice in vendor_prefixed/google/auth/src/HttpHandler/Guzzle6HttpHandler.php | Proprietary notice in vendor_prefixed/google/auth/src/HttpHandler/HttpHandlerFactory.php
13,seo-by-rank-math,Rank Math SEO – AI SEO Tools to Dominate SEO Rankings,1.0.277.1,4000000,GPLv3 or later,GPL_ALIGNED,0,
14,duplicate-post,Yoast Duplicate Post,4.7,3000000,GPLv2 or later,GPL_ALIGNED,0,
15,updraftplus,UpdraftPlus: WP Backup &amp; Migration Plugin,1.26.7,3000000,GPLv3 or later,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,2,Proprietary notice in includes/S3compat.php | Proprietary notice in includes/S3.php
16,duplicate-page,Duplicate Page,4.5.9,3000000,GPLv2 or later,GPL_ALIGNED,0,
17,really-simple-ssl,Really Simple Security &#8211; Simple and Performant Security (formerly Really Simple SSL),9.8.0,3000000,GPL2,GPL_ALIGNED,0,
18,jetpack,"Jetpack &#8211; WP Security, Backup, Speed, &amp; Growth",16.1.2,3000000,GPLv2 or later,GPL_ALIGNED,0,
