rank,package_name,version,manifest_declared_license,physical_license_type,physical_license_files,has_third_party_notices,in_code_headers,conflicts_count,verdict,verdict_reason,physical_license_snippet
243,barryvdh/laravel-dompdf,v3.1.2,MIT,MPL_COPYLEFT,LICENSE,NO,,3,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later),--- barryvdh-laravel-dompdf-ee3b72b/LICENSE --- MIT License Copyright (c) 2021 barryvdh
454,wp-coding-standards/wpcs,3.4.1,MIT,MPL_COPYLEFT,LICENSE,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: phpcsstandards/phpcsutils (LGPL-3.0-or-later), phpcsstandards/phpcsextra (LGPL-3.0-or-later)",--- WordPress-WordPress-Coding-Standards-ec2ff94/LICENSE --- The MIT License (MIT) Copyright (c) 2009 John Godley and contributors.
506,vimeo/psalm,6.16.1,Unspecified,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- vimeo-psalm-f1f5de5/LICENSE --- MIT License Copyright (c) 2016 Vimeo
587,sirbrillig/phpcs-variable-analysis,v3.0.0,BSD-2-Clause,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: phpcsstandards/phpcsutils (LGPL-3.0-or-later),--- sirbrillig-phpcs-variable-analysis-282f8a4/LICENSE --- BSD Licence Agreement -----------------------------------------------------------------------
657,danog/advanced-json-rpc,v3.2.3,ISC,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,"--- danog-php-advanced-json-rpc-ae703ea/LICENSE --- ISC License Copyright (c) 2016, Felix Frederick Becker"
678,felixfbecker/advanced-json-rpc,v3.2.1,ISC,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,"--- felixfbecker-php-advanced-json-rpc-b5f37db/LICENSE --- ISC License Copyright (c) 2016, Felix Frederick Becker"
747,mews/purifier,3.4.4,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- mewebstudio-Purifier-b2705cc/LICENSE --- The MIT License (MIT) Copyright (c) 2015 MeWebStudio - Muharrem ERİN
760,mglaman/phpstan-drupal,2.1.2,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: webflo/drupal-finder (GPL-2.0-or-later),--- mglaman-phpstan-drupal-6b4fd04/LICENSE --- MIT License Copyright (c) 2018 Matt Glaman
877,horstoeko/zugferd,v1.0.130,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: smalot/pdfparser (LGPL-3.0),--- horstoeko-zugferd-d9c54f1/LICENSE --- MIT License Copyright (c) 2020 D. Erling
1063,yiisoft/yii2,2.0.55,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-framework-b900eec/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1113,roots/wordpress,7.1,"MIT, GPL-2.0-or-later",GPL_COPYLEFT,"LICENSE, LICENSE-WP",YES,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: roots/wordpress-core-installer (GPL-2.0-or-later), roots/wordpress-no-content (GPL-2.0-or-later)",--- roots-wordpress-eb3d108/LICENSE --- MIT License Copyright (c) Roots Software LLC
1122,stevebauman/purify,v6.3.2,MIT,MPL_COPYLEFT,license.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- stevebauman-purify-deba4aa/license.md --- MIT License Copyright (c) 2021 Steve Bauman
1130,automattic/vipwpcs,3.1.0,MIT,GPL_COPYLEFT,LICENSE.md,YES,IN_CODE_GPL,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: phpcsstandards/phpcsextra (LGPL-3.0-or-later), phpcsstandards/phpcsutils (LGPL-3.0-or-later)","--- Automattic-VIP-Coding-Standards-9c47cd0/LICENSE.md --- The files in this project--except those listed under the section ""Included Files""--are Copyright &copy; Automattic Inc, 2016, and licensed un"
